Acc_x	Acc_y	Acc_z	Time	Total secs	
0.503906	0.189941	2.03198	04:04:14.640	14654	
0.10498	0.569824	0.453857	04:04:14.680	14654	
0.0778809	0.22998	0.248779	04:04:14.720	14654	
0.274902	-0.349854	1.83179	04:04:14.759	14654	
0.462891	0.199951	1.95679	04:04:14.800	14654	
-0.0249023	0.217773	0.142822	04:04:14.840	14654	
0.0678711	0.0229492	0.444824	04:04:14.880	14654	
0.0078125	-0.430908	2.14185	04:04:14.920	14654	
0.718994	0.530762	1.68799	04:04:14.960	14654	
-0.0629883	0.280762	-0.155762	04:04:15.000	14655	
0.0629883	-0.0307617	0.437988	04:04:15.040	14655	
0.312988	-0.437988	1.93799	04:04:15.080	14655	
0.343994	0.655762	2.28198	04:04:15.119	14655	
-0.0939941	0.155762	-0.0307617	04:04:15.160	14655	
0.0307617	0	0.375	04:04:15.200	14655	
0.187988	-0.375	1.25	04:04:15.240	14655	
0.468994	0.75	2.18799	04:04:15.280	14655	
-0.125	-0.0307617	0.0939941	04:04:15.320	14655	
0.0629883	-0.0307617	0.468994	04:04:15.360	14655	
0.312988	-0.437988	1.25	04:04:15.400	14655	
0.530762	0.562988	2.34497	04:04:15.439	14655	
-0.312988	-0.375	0.25	04:04:15.480	14655	
-0.0629883	0.0629883	0.0939941	04:04:15.520	14655	
0.312988	0	0.812988	04:04:15.560	14655	
0.5	0.468994	2.12598	04:04:15.600	14655	
-0.0307617	-0.312988	0.655762	04:04:15.640	14655	
-0.155762	0	-0.0307617	04:04:15.680	14655	
0.375	0.155762	0.218994	04:04:15.720	14655	
0.343994	0	1.93799	04:04:15.759	14655	
0.312988	-0.405762	0.968994	04:04:15.800	14655	
-0.25	0.0939941	-0.0307617	04:04:15.840	14655	
0.5	0.218994	0.437988	04:04:15.880	14655	
0.593994	-0.0629883	1.93799	04:04:15.920	14655	
0.25	-0.312988	1.28198	04:04:15.960	14655	
-0.0307617	0.187988	-0.125	04:04:16.000	14656	
0.315918	0.0478516	0.345947	04:04:16.040	14656	
0.408936	-0.287842	1.88184	04:04:16.080	14656	
0.384766	0.0639648	1.38794	04:04:16.120	14656	
0.0297852	0.450928	-0.0397949	04:04:16.160	14656	
0.174805	-0.0307617	0.649902	04:04:16.200	14656	
